,text,time,hashed_value
412,@freakgoddess @Nani981 why are you all making me hungry...  and @freakgoddess  i don't like veg kebabs . they dnt even come clse to NVeg,,
413,@komplettie yes happened to me in the middle of testing a program. Very annoying. And a waste of 16 hours!!! ,,
414,That was a mission. Hating the emptiness of my room ,,
415,"@BronxBebe4488 .. Thanks honey! Honestly, its starting 2 work! But this 1 person @ my job KNOWS how 2 press my buttons &amp; its annoying! ",,
416,is feeling slightly down now  not a good day,,
417,@richwareham Geeks in Space -- yup.  Another awesome podcast I discovered just as it was finishing... ,,
418,i'm scared that everything i studied is not enough ,,
419,wants Steve Madden Skipp oxfords SOO badly! ,,
420,@ShaddixXx Awsomee  i'm so bored :/ theres nothing to do here! ,,
421,@JCulwell you mispelled my name ,,
422,"fml. looking at old photos just makes me miss old friends.  though we're still sortof friends now, it's hardly the same..",,
423,Still no hair from Tom  http://twitpic.com/8dd4u,,
424,"working and wishing my back wasn't killing me, I barely slept at all last night! ",,
425,"@Drogheda_PC he also has an alter ego, bit worried about him   split personality disorder. LOL",,
426,Huge blisters on my feet.. owww ,,
427,@poshmarie What happened with Jazzy? ,,
428,Morning twitz! Stupid jury duty today  there has to be a way out of this....,,
429,My adapter won't fit on for my laptop. So now I am without computer. I fail  Need a Best Buy pronto!,,
430,still looking for the black briefcase ,,
431,http://twitpic.com/8dd5l - Me and my friend [ maybe ex-friend  ],,
432,"Going for a shower, work at half five again  Can't wait to dye my hair blonde &amp; get another tattoo. Any ideas on style &amp; location?",,
433,it's raining ,,
434,I hate being questioned! But I think im in the dog house  I think she gonna take the badge for today. Maybe I'll do whatever she wants!,,
435,why everyone speaks in English in here??  it's kind of... um...........................  well i don't know what to say ,,
436,@babygirlparis Wow Paris you're in Dubai? I hope you can help me get Hilton Hotel Dubai to sign up with us at DirectWithHotels.Com! ,,
437,"@James_Walton I was just wondering the exact same thing. Actually, its something I do every day ",,
438,@karenejones haha nice! The main problem with MN is that we have a 6 month winter ,,
439,Up puppy sitting ,,
440,is sad to admit he likes &quot;trash me&quot; from heidi montag ,,
441,oi...this migraine i hav is gonna drive me nuts like 4 real. cant even go bac 2 sleep...n i hav to work till 11 2nite :/ i...need...sleep ,,
442,Frustrating day - two new front end roles (so rare and precious) both in .Net ,,
443,misses the Clear lane at the airport. ,,
444,@andy_nash It should be great. But Thin Lizzy have dropped out as support. It's The Subways now ,,
445,headache ,,
446,"See, i knew it &amp; guessed correctly. Jealous now? Oh yea, &quot;Sour Sour&quot;. What 2 do? Listen to life song lo. ",,
447,i miss my homies  and i am sooooooooo bored. *iM*a*DoRk* &lt;= sooo true haha me and katie are the biggest dorks eva lol,,
448,"@FatherBob Hey, are you still doing Sunday Night Safran with John Safran? Or did he ditch you to do that new TV show in the US? ",,
449,"thinks if I dont take this, what will happen?  http://plurk.com/p/13w9sh",,
450,@lorihooood i knowwww me too! :| oh dearrrr. these holidays best get better aswell ,,
451,@DrJovi  girl please! QUIT?! ur out ur mind I would b ko'ed erday I'm telln u I get that meannn sleep spell from 9-11 I need something ,,
452,It's WORSE than the Madoff $50 bln fiasco...it's plain WORSE!!!  I been preparing for over 2 years...want to know how,,
453,going to the gym ,,
454,OOUUCCHHH ... I have such a bad headache !!!  ... http://myloc.me/5ALr,,
455,"I wonder if I should go out on a man-hunt this weekend..?? I just don't know if men are worth the effort anymore...Sad,but true ",,
456,Is sick... Gonna lay in bed alllll day! ,,
457,I really don't like mornings...I don't feel so well ,,
458,is at schooooool. havent had no dinner as us girls had to danceee  bad bad times.,,
459,"specially for @kopigao - im leaving 29th Jun, 1950h flight. SQ something to Christchurch. SO NOW U KNOW KAY!  so sad.",,
460,Can I get some followers I am new to this ,,
461,@comcastcares just caught wind of the Comcast/Time Warner online portal plans. I pitched the same idea to my company an got shot down ,,
462,@deathboyuk imagine what they'd have done if she was a Baha'i  if only the UN wasn't such a lame duck,,
463,http://bit.ly/lpzSP Mine doesn't do this ,,
464,Daughter &quot;graduated&quot; from preschool yesterday. So cute and sad when all the kids had to say good bye to each other ,,
465,"@markimbriaco  Microsoft is dragging its feet on the inevitable. Don't worry, I'll find a way to make it happen.",,
466,is a potential swine flu candidate... uuugh. im missing 2d classes  wrong timing naman.,,
467,is going to the grad thing this afternoon.  don't know why,,
468,Almost time to go home  Not much left from my Transformers induced good mood.. I'm mostly tired now &amp; cold...it's raining again (still) ,,
469,"@JessObsess I think he might  And hey, smemma can change! haha",,
470,I just wasted 3 hours due to bad form usability (italian passport renewal form = horrible) - life is too short for bad usability people! ,,
471,"Ended up doing the tai chi, pilates and yoga class at night, but not after getting extremely sunburnt!!! OUCH! ",,
472,"@Footdr69 OhhhH!!    Anbosol, stat!",,
473,got woken up and can't go back to sleep  people need to realise i can't fall back to sleep if woken up.,,
474,I wore my red flats to work today so i could magically go home when i wanted. I think theyre broken ,,
475,@ekrelly   notto  the  no rehab thing,,
476,My roommate just left me!!! It's lonely city!!! ,,
477,When I planned my costume for Sunday I didn't plan on having to cover it up with a rain coat ,,
478,"@MerryLark yeah, I can't seem to find a reliable source to determine if kiwi really is ok. Tweets from iran are on a serious decline ",,
479,Wowzers I don't feel good today.  And I didn't even do anything silly last night to feel so crappy! ,,
480,Gym ! Then Working eight hours  so excited to sleep tonight!!,,
481,"I'm sad because my brother is moving away today  and I have to see him off at the airport, must remember to take tissues! I'll miss him x",,
482,@NinaCSch I try to ... but the moment my thesis is freaking me SO out ,,
483,"Why Youtube, why? It's all gone wrong since Google took over  http://bit.ly/15Jned",,
484,Good Morning! Only got 4 hours of sleep last night ,,
485,@dallas_news Happy Thursday! No relief for us here  YIKES 100 try to stay cool,,
486,@Pinklilycat Bacon sandwich with cream though? Ugh ,,
487,Listening to Forever and For Always from Shania Twain album Up! ,,
488,Waiting on phone repair man. Hoping to have my phones working soon  Also praying this is a better day,,
489,@jenn_ski i saw it too but it disappeared again... ugh! ,,
490,Optus website is down. I'll have to buy my new iPhone 3G S 32GB on Friday morning.  ,,
491,"JEALOUS that I am inside at work instead of outside, in England, at Glasto ",,
492,Awake. Leaving for work. Totally shitty night because of no sleep. New room/bed. This is why I don't spend the night places.  ,,
493,@ucf0503 lucky u! im already at work ,,
494,@myasmine stole? After I let you fire an air barrel for your money back? I'm hurt ,,
495,@cosmodaddy  thanks. i think i had that until recently. it's so annoying. i can't twitter without a good phone app ,,
496,"Ãi thi vá»i cá»­ , tÃ´i cÃ²n 5 mÃ´n ná»¯a má»i xong. Cháº¿t tiá»t cÃ¡i mÃ´n VÄn báº£n lÆ°u trá»¯, tÃ­nh hÆ°á»ng ngÆ°á»?i ta tá»i nghiá»p VÄn thÆ° hay sao chá»© ",,
497,"N95 has gone to Nokia, will be gone for at least 3 weeks ",,
498,currently addicted to the tennis....... wishing i was at glastonbury though ,,
499,me sinto doente. ,,
500,"@JennyPumpkinx I would, but I need a job first so I can pay for insurance. No clothes shopping for me  Superlame.",,
501,1900  fuck,,
502,I cannot believe josh just ran a toll  I'm so scared of the fine,,
503,OM f!&amp;$%#? G! So i in to listen to some music on my i pod on the way to campus only to find out that all my music had been erased. ,,
504,Did you take anything? Is it still your allergies?  ,,
505,Going camping soon. Summer is SO boring so far. I need a car!! ,,
506,just woke up with the worst headache ever ,,
507,"taking it easy, trying to figure out what is happening to my old mind ",,
508,"Didn't find the treasure. So close. We were in the right place and when we got  there, the other people told us it had been found. ",,
509,article in Tribune on @Suntimes sale doesn't mention me...  http://bit.ly/Vd2Ou that's okay; there IS A PROFITABLE MODEL for @Suntimes...,,
510,wonders y she is so unlucky this day.  http://plurk.com/p/13waqw,,
511,got windows xp now running on my ubuntu laptop via virtualbox. Hey don't blame me it was a necessity. No mac emulators will work ,,
512,@dj6ual When I lived in Kirkland we used to get many little bats fly across the docks. None of them made any noise as they zipped by. ,,
513,my abs hurt ,,
514,@BluntBloke Was in Barcelona for Sonar followed by a fab day at Wimbledon. Back at work now... ,,
515,@veddersgirl lol Exactly. I cant even go NEAR the TwiRumorControl subj. Cuz I get tempted to peak in on them. Cant go to our home ,,
516,Last day in colorado  it was everything expected and more. Leaving for home around 930 to 10 pm,,
517,Ow my neck ,,
518,Did everyone know that Cheeks was at the forum last night? I DIDN'T! ,,
519,Babying my doggie - he doesn't look like he feels good today  ,,
520,@voiceofcritics:me to  iam on my way to the studio now,,
521,"@KimmieDavid I'm heading there now. I made a quiz, and it sucks. Didn't turn out right. ",,
522,@nicetobelieve nope  not til end of august,,
523,@joekwon80 I wish. ,,
524,"dropped kids off at vbs, got dunken donuts, came home went next door and said my goodbyes to elizabeth before she goes to columbus ",,
525,@brianakatlyn yep...the middle part is out of the shoe ,,
526,@rahma_dualeh now I am sad again. Don't leave baybay!!! ,,
527,@hypnoticzexy it was cut shorter than i imagined. I'll be growing it out again. It was just getting too thick. I miss it already ,,
528,Getting ready for work...not liking working on a closed ward...makes me slightly paranoid... :S ,,
529,"@frandoce es oviedo, ruta medica hoy otra vez, ahora atrapados por el chaaparron...waiting for my mouth to by scanned...still in oviedo ",,
530,Ian Watkins isn't following me anymoreeeee ,,
531,@astoryaboutmac I do not have a USA iTunes account ,,
532,"Der gestrige Sbend: StreetÂ´s on fire. the mob goes wild! Oder: Bang bang bang, vamanos vamanos vamanos. AUA, GehÃ¶r tut weh! ",,
533,"@xavire oh well, i still am getting mugged by those economic theories. just that this year is WORSE. ",,
534,"@the12kingstar  I wish I could cook as well as he does, he deserves breakfast in bed too. I can get by, but I'm not the best. sadly. ",,
535,"@rebeccawoodhead Yeah, I know you're right. At some point you get tired of the universal &quot;sneer factor&quot; in those comments, tho. ",,
536,my kids are having a pajama party today! i wore my hannah Montana pajamas! i forgot my teddy bear tho  SoMeTiMeS i LuV my JoB!,,
537,Someone from my office (who annoys me) met Leo when he came here in 04.  No wonder he didnt come back for the 08 election.  LOL,,
538,My tummy feels so wonky today ,,
539,@MPisthename aww babycakes!   HUGE HUGS. whats wrong? do they know?? KISSSSSSSS x x x x x x x x x x x thanks for listening to the PC xx,,
540,@Larryx360x am i too late? Im sorry i was sleeping ,,
541,@niicoleleiiman yeah! that was pretty much the worst thing ever ,,
542,@LarryTheWineGuy We're looking at North Carolina - I'd be spending 32% less on housing there.  I can't even afford a house in this state. ,,
543,"@krist0ph3r @hg6789 hmm,.. Its so difficult gifting a person, who has everything,.,..  ",,
544,Got woken up by religious nuts ringing the bell. Guaranteed to put me in a foul mood. Took ages getting back to sleep after ,,
545,"Oooh tequila, you get me every time. I foresee major dehydration in my future if I opt to go to the beach like planned ",,
546,"In the train to Groningen, it's warm, unpleasant and rich in luggage ",,
547,@JuiiCyeffBaby I didn't get to speak to her last night  lol nah i'll be there what u mean 288,,
548,quit smoking for 12 days and really messed up this weekend at the beach ,,
549,Waking up sucks. ,,
550,Lots of fox still here  they just sent some crowd wrangling minions home.,,
551,@tiarocks116 that sucks ,,
552,@GGGKeri Oh no!  Poor mom. That must include a long recovery time.,,
553,"so damn tired, who know EdiFact here?? even BizTalk hates using that standard why should I hardcode something like that in c# ",,
554,nxt wk Sunday is my Bday and Kyteman&amp;Anouk will be perf @ Westerpark. Don't have tickets  but will be there having drinks. Who's joining?,,
555,@Candy_Girl85 girl i know this was from father's day but drinking by the pool sounds soooooo good LOL! too bad i can't today ,,
556,@ElyseGardner you don't??? :O ,,
557,@DJLonnieB that's craaaazy....I was listening to lifes a b rite b4 I saw that tweet. I miss those days...miss u east coast rap. ,,
558,"My car is totaled, officially. If I lived in the east end I wouldn't even need another car.  What can I get for $3000? ",,
559,@DREEE9 my throat killllsssssssss &amp; i lost my voice.. kill me lol ,,
560,Feeling very tired today and a little bit fed up as well don't know why!! ,,
561,"Not so good on my Exams, ill be here next semester  *Jixisticks*",,
562,Red Roof didn't pay commercial laons 361 Mils  http://tinyurl.com/noud75,,
563,@NEEDISAYMORE09 Damn! ok  I think Im gonna make me a list too lol I been accomplishing a lot of my personal goals so far,,
564,is depressed.  I guess i just miss home.,,
565,I'm a bit nervous right now ,,
566,"A bit late, but here. Fucking moving van was double-parked on a sidestreet, adding 20 minutes to the trip. I hate driving tired. ",,
567,@ewandodds yes i think so  but i hate going!! &lt;3 xxxxxx,,
568,I feel so sad since Gavin needs to go back to the Philippines soon! It's really breaking my heart...   http://twitpic.com/8ddhx,,
569,I almost cried this morning when I realized it wasn't Friday  One more day until I can see my kiddo ,,
570,@freakgoddess   i wish i could have some ... Anways enjoy.. see ya tmrw... ,,
571,"Bom dia, twitt population! Have a nice gray day! ",,
572,Is with mi madre! I feel sick ,,
573,"@jedson328 but Karl just knows so much more than me!!! It didn't work anyways, though ",,
574,I must be the only person left on the planet who still visits the Strobelight page ,,
575,@_scene_queen_  haha lucky!  OMG my lover is in the hospital. ,,
576,Massive headache ,,
577,I miss my computer ,,
578,@crimpomatic stuck in meetings all day so can't get out into it  but it is beautiful 4pm finish for me I think &amp; a nice walk home =^~_&lt;,,
579,@ShibbyJinkes Damn  ,,
580,I need to write a story. It's due tomorrow. And I'm stuck with an introduction about a hotel and a young couple checking in. AHHH ,,
581,i dont feel well at all ,,
582,@kaitt32 yeah :| two of dem  HOWS SPAIN MY WORLDY BUG?!?!,,
583,OMG WTF  . BUT AT LEAST I GOT A NICE PIC OF JOE JONAS  . oh my fucking God... I even said I was gay at the last question! Damnit!,,
584,is going to be phoneless till sunday . . . . ,,
585,Heading off to work ,,
586,Resumed a languishing summer tank project and recalled why I keep putting it down. Non- springy cotton knit too tightly. Hurts my fingers ,,
587,JMDP  maybe you're not *that* ready for grass yet..,,
588,I'm sad about jon and kate..srsly the media made everything a lot worse! I hate when the media turns vicious..its really scary.. ,,
589,Definitely lost too much weight when my butt can't even hold up a pair of skinny jeans... ,,
590,I just can't figure out what to eat tonight  anyone an idea ??,,
591,Really doesn't wanna go to work today ,,
592,@Tobias_Reuen I don't know what I shall wear ,,
593,"Was in a good mood, until i found something out that someone told me about what they said. D; Proper put me down. Fucking nob. ",,
594,"@milonguera I lost my favorite pair of leggings to dance in  and also, in no spend mode. sniff sniff #tangothursdays",,
595,"@Steve519 Oh yeah, you're right!  What a traumatizing insult.  I don't think we'll ever be the same again after that ",,
596,Prayers are with Farrah Fawcett &amp; her family . I hope she is feeling no pain ,,
597,@saynofx viigo is ugly  need something simple,,
598,@bungatikha i know right ,,
599,@a__guy no windows here either as I'm in a shopping centre  glad of air con tho!,,
600,says I'm feeling fucked up nao!  GRR. http://plurk.com/p/13wbtr,,
601,What the fuck is wrong with everyone today ,,
602,oo how beautiful it is 2 wake up 2 da lawn mower  ...ugghh,,
603,fighting really takes it out of you.......   so does working at tmobile,,
604,We found a dead bunny in the backyard this morning   Rip little one .,,
605,Soooo tired. Up an hour early cleanin ,,
606,No power on central campus.  no Internet for my computer... Thank goodness I've got my trusty iPhone!,,
607,Working on a logo for a missions group. Love working in AI don't do it as much as I'd like. ,,
608,Working on a logo for a missions group. Love working in AI don't do it as much as I'd like. ,,
609,@naveenie Oh no!  You have a fever? ,,
610,My hair straightener joined ed mcmahon and bea arthur in the 2009 celeb graveyard ,,
611,i think it is starting to rain... thunder-storm...  i'm scared.,,
612,@shinginbox Pois Ã©. ,,
613,Beach is nice. Fried like a lobster ,,
614,"@Graendal There are  Though what I've done so far wasn't soo bad - you just look for dodgy data.  Ther rest is just math, as far as I know",,
615,@precious85  no that stinks...  hope the cafe will hire you!,,
616,@jamhess I'm sorry.  Is it the meds still?,,
617,"Just realized that I don't have enough money for rent this month . . .  I just want to curl up in bed and watch HIMYM, not go to work.",,
618,@garethslee all I need to do now is add proper error handling ,,
619,@hdconnelly At least you have a good excuse for not shooting. I just haven't seemed to make the time. ,,
620,getting ready to go to work its sucks ,,
621,"O good lord, I have to learn how to use Castor. And I don't mean the sugar. Someone please kill me ",,
622,my arms are sore from swim practice. ,,
623,is craving a pack of crisps but im on a diet  lol,,
624,can't send sms in gmail anymore ,,
625,just wokee up.....I miss my aaron ,,
626,@avenueofthearts That link doesn't work ,,
627,@Has_Bookpushers I should probably go through them. I ban the one with ho..y and ho..e ones but maybe I should look at all. ,,
628,@fridgi Thats odd.My RC(since the1st beta)has been absolutely fine.I also love3.5(also ABP addon)but the memory usage vs SW Iron/Chrome ,,
629,I'm hungry but I just can eat fruits ,,
630,"@EBone Nah, I ordered the Boa Slim Case for my MBP in some online shop. It should save me 20â¬ if they ever deliver ",,
631,@fortworthdiva You be careful too.  I dn't know what our heat index is here in SA but it's supposed to be another triple digit day.  101 ,,
632,Wine rack fail! It was completely loaded with Chateau Neuf du Pape  http://tr.im/pIMn,,
633,"Oh my gosh, I wish we would've taken a plane. ",,
634,"missed Ryan every day this week  , but thankfully, he will be home tomorrow!",,
635,"Ok my ipod left me a few mins after i said that, my teacher spotted it in and told me to get it out ",,
636,Why is the Ocarina of Time so expensive? ,,
637,I haven't slept in in a long time. ,,
638,I want some candy! ,,
639,@weefieryredhead i want an ice cream van ,,
640,@mulimuy why are you in banduuuuuuuuuuuung? ,,
641,@nigsbrizuela take it... i ate too much ,,
642,daddy gone ,,
643,"@CaptainJack4 Too right, especially on uploading ",,
644,@peterfacinelli No love for Canada..must be US citizen to enter ,,
645,@jamhess hey sweetie!!! And now I have to go again!!! ,,
646,On my way to the damn doctor.  i hate being sick.,,
647,I'm really tired. I want a guy to be sweet to me like Emma's boyfriend in Degrassi. ,,
648,Damnit my iPod is out of battery. How will I survive the train ride home? ,,
649,"@GeeNote no, I feel like trash, sitting on the sidewalk, but not so smelly!! My head hurts ",,
650,ER wit mah daughter.... shes not feelin good at all ,,
651,happy crush where are you?  http://plurk.com/p/13wcj4,,
652,Am I ever going to feel not sick again?  ,,
653,@ChargerJenn aww I think working on our entries made you sick!! ,,
654,@thisisbree awwww ,,
655,That was a lovely shower. Likely the last one I'll be having here! ,,
656,I woke up too early today ,,
657,"@ms_senita lmao, but its gonna be hot today ",,
658,Didn't wake up happy  I have a frown on my face. Ughhhh not excited for class.,,
659,@Girlfriendology that is such a true quote I miss the friends I moved away from  life was just sweeter then,,
660,long hair and cute...but single ,,
661,I miss my red hair ,,
662,"@birdofparadox &lt;3 ur deconstructed pesto salad recipe, maybe I'll make it today!  And did  you c who's coming to J-town?  G Baum, YIKES!",,
663,In PE  fit BB -&lt;3 I'm sitting out,,
664,Someone just said they hated Resident Evil 5 because it &quot;wasn't nearly as scary as Resident Evil 4&quot;.  ...RE4 was also not scary. period. ,,
665,@jordanknight On 20thJune at 7.30am you said you'd talk to us tomorrow.. it never happened.. Why?? What's happened..we offended you..?! ,,
666,I didnt eat breakfast this morning ,,
667,Gonna see the hangover today with zora. yay. Wish i had bought 311 tix ,,
668,Please don't bank with #abbey / #santander - absolutely useless business banking. Have locked me out of my biz account for 2 months now ,,
669,@carolz_place Been Hot in TN for weeks  The air has been on all month. Thankfully yd &amp; this a.m. is cool enough 4 open windows. Blessings!,,
670,"common denominator of my last two not-feeling-well-moments, OYSTERS!  Someone tell me what to do   (via @mwfishman) if good place, allergy",,
671,"doesn't feel like twittering much, and hasn't been in the past few weeks... ah ",,
672,"I love you, be mine again ",,
673,"@coollike http://twitpic.com/8d0kq - I wish I got DWM. I live in the states, so no luck there ",,
674,@suedahlgren  ok i will watch.,,
675,OMFG ouch! something just went snap in my elbow &amp; now it *really* hurts. ,,
676,... but no special Windows 7 upgrade pricing in the EU  http://is.gd/1d6Ja,,
677,"hmmm, diagnosis on left computer speaker suggests blown tweeter ",,
678,"@canvasxyz isn't it though? I've been waiting for the new cd forever, and of course there's no hot topic near me right now ",,
679,Why  am i up so early ,,
680,I'm working tomorrow   Dunnes sucks ,,
681,"@emencia too late Rodge for Den's  But soon, when I'll get rid of my kids ;)",,
682,I didnt win jonas brothers tickets on the radio.  well theres always tomorrow...,,
683,I was unaware that my face could get this fat.. ,,
684,Getting ready 4 tonight.. Im tired now dammit  Hope everyones having a gd day! xxx,,
685,@mileycyrus cravin for sushi too ,,
686,@graemeb00th why didn't you come say bye bye ,,
687,"so i went to the doctor yesterday and got a shot, after effect sucks! it fxckin hurts like hell ",,
688,"I'll be here all weekend  so no excuse to not go to church this Sunday, see you at 11:45 Pastor West",,
689,is going to miss her good pal @Stephyyy  x,,
690,@GrantMc thats awesome  howd you know though? yvonne told my group we had to wait til basically we started back to find out the grade ,,
691,I think he has realized......I feel relieved..... and lost ,,
692,@Blatter PS hope you know how lucky u r to watch rugby on tv. In the states even the rugby bars aren't showing the Lions tour.  ,,
693,"@tim_mckee I wish... it was Bill, as in Gates. ",,
694,@TewiTso Hey girl! Doin' ok here! What's up with the internet?? ,,
695,oooowwie! cookies are hurty! ,,
696,"at work feeling a little down... @ohmygela nice! Imma visit your site again a little later... and oh, try to rest for a while... ",,
697,Advice for the day: Don't fall asleep in your contacts.  My eye is wicked bloodshot and it burnssssss.,,
698,@maggieshiels I have to say that's probably one of the most disappointing links I have ever seen. I was expecting something scifi ,,
699,Leg is so swollen. Hurts to walk ,,
700,@katiepennington @isaacrs @raphsangiovanni nothing worse that a horny bird who tries to distract &amp; sneak a peak! Pfft! Are you ok though? ,,
701,is wishing he was in DC so he could kick it with Paul Rudd. ,,
702,www.redcarpetdachshunds.com for the Cutest AKC Mini Dachshund Puppies! Only 3 left  Expecting Chocolates &amp; Chocolate Dapples Soon!,,
703,@minibite17 i thought u said i wasted my time wit it   but im happy u found something funny w it.&amp; i do kno where my rock is its at school,,
704,Studying for 4 hours until 330 in the morning and im up already ,,
705,trying to fix a 1TB lacie drive... blue light keeps blinking and it wont mount on desktop. #hardware trouble ,,
706,"@ maracaibo, again    &gt;(",,
707,"Worrrrrk, this attempting to be a grown up thing blows ",,
708,"Soooooo tired, I wish I didn't have to work today all I want is my nice soft bed... ",,
709,@CrackUpBoom haha the way my day is going that sounds like a good idea! too bad I have a meeting tomorrow ,,
710,@gracielaM ohh really??I thought they were germs ,,
711,@IDKWHYIMNAKED lil mama...uhmmmmm? r u on cociane in NY? nah they all still like 3 and up ,,
712,Dieting is sooo hard I just want a big mac wit fries a Hi-C with a 4piece nuggets   http://myloc.me/5AQa,,
713,@Nicoleos But I'm doing them anyway ,,
714,History is killing me  And I forgot almost everything that has been taught in school before the holidays.,,
715,@KateAnstey what time are you getting to victoria tonight? I can't stay out long - think I am getting a cold ,,
716,O.MAI.GAD!!! I NEED TO BE WHERE PP IS NOW  AHH MASKED HONGKI MASKED JAEJIN MASKED JONGHUNMASKEDSEUNGHYUNMASKEDMINHWANOMIGADDD *SKILM*!!!,,
717,"scared,mad,sad ... all of it ",,
718,Crews depolished wrong house based on GPS coordinates !  http://oreut.tk,,
719,Had a small accident this morning.  Guy opened his door while I was pulling into a parking spot. I stopped but by then it was too late.,,
720,@Nathan91 - I wouldn't even know where to start fixing it myself. Sony will charge me a bomb with no receipt or warranty ,,
721,@renekasbergen that is mad! tried doing it from here and i can't ,,
722,@untuckem Aww... I missed out on all the cool stuff ,,
723,"@thewild aww, I hope your dog gets better! That's awful, what's wrong with it? ",,
724,Headed back home - Job; oh we so sorry Gail we didn't need you this morning. Me; ,,
725,Twitter on my phone is getting annoying Ahah. At summerschool ,,
726,doesn't really want to work for 9 and a half hours tomorrow. Just wants to spend a proper day with her baby.  Pancakes smelling good!,,
727,kids are ready go see Mickey Mouse!  dang no sleep for this chick ,,
728,My fringe is just not doing what it's supposed to today  .....,,
729,My lil ones are gone for the summer  I shall miss them. Now... time to focus! Moving on...,,
730,I wanna see transformers 2 but itshows @ 12 2nite and im goin 2 the airport at 1 ,,
731,ugh i'm up...someone shoot me! Goin to Sanford...god i hate mornings ,,
732,Moo.com is broke  another bummer!!,,
733,@sampan22 Hmm...well i have my spies out there who will be investigating his disappearance..Lol.. I just miss him   Kate is gonna have FUN,,
734,so tired couldnt sleep good last night ,,
735,@vh1sCornfed  I'm sorry my lil chick-a-dee! I'm gonna give you a call next week...enjoy the rest of your time home...say hi to your bro!,,
736,Has to learn to prioritise things better. ,,
737,"*sighs* Has been up since 5am for no freaking reason! Laid in bed for 2 hours, still couldn't get back to sleep. Is ooohhh sooo tired. ",,
738,all I did was to reach out // what a great way in responding ,,
739,"Worst.Hangover.Ever. Need healing potion ASAP. On second thought, sleep better. Still can't find my staff. ",,
740,hoping my cousin doesn't stand me up today ,,
741,@tynanhooper I hear ya... unfortunately the boss has a file review 2mr with a client so I have to get the review sheets done on all files ,,
742,@211me no love for canada...usa citizens only ,,
743,"@redsrule85 nummi is icelandic slang for sweets, no nummi today  funeral today",,
744,Pray for me - I'm facing one of the hardest days of my life... ,,
745,@papeylad thanks ,,
746,@indiesoshameles how the hell did I become a dude?? cuzo...uggghhh. I feel sick today sis in law. I wanna go home....come save me... ,,
747,@shermartelle Sorry to hear that!  Though you can follow all the action  with the #PrideTO tag: http://bit.ly/14w3No,,
748,"Eating breakfast @ Mioposto &amp; having a cup of tea...Big monkey don't drink the almond milk. 7g sugar, cane juice, it is not unsweetened ",,
749,"my twitter is pooor! LOL, guttted for me. i need something exciting! ",,
750,@shermartelle Sorry to hear that!  Though you can follow all the action  with the #PrideTO tag: http://bit.ly/14w3No,,
751,http://twitpic.com/8ddwj - I know it's blurry but this is my first sighting of a Junebug this year ,,
752,@221me How can I be sure that I entered before it got overloaded? I THINK it worked but I'm not 100% sure ,,
753,"@thenaturalbaby soooo wish i could be there, but i won't be able to make it saturday.  i hope it goes great for you!",,
754,I miss my boyfriend ,,
755,"Work. Ughhh, I rather be sleeping ",,
756,Sitting in the doc's office waiting for them to retake my blood pressure ,,
757,@KaylaNicholeG I miss Trina too and you  I even miss the room of death,,
758,"Meet at four! waah, i'm semi-tan...and it hurts  mishin' my boy.",,
759,Can't hardly wait for the Blackberry Tour. Wish I had it now ,,
760,"@Stuartcfoster months later, nothing happened. :\ ",,
761,I don't know what I'm going to do next week. ,,
762,oh god I am sooooo bored! i do'nt really wanna update cause then i'll have more updates then followers  but the boredom is takin control..,,
763,my tummy hurts. ,,
764,is wondering if her hubby is dying in this head?  poor guy ,,
765,@patricv1206  I miss u too darling ,,
766,no food at the kentland rec centr food bank ,,
767,had to put my dog that I grew up with to sleep ,,
768,"Packing for australia right now! I don't think I have enough to do things  ohh mann, I need to hurry up!",,
769,@JuliaSiddle oh I'm still in year 10  School sucks,,
770,oh my dayss! im so tired  I feel like crap! &amp; this woman on ebay is being a cow.,,
771,Good morning all- looks like a few more clouds today and cooler in NW #PDX  Oh well what do you do? It's my day off...,,
772,should think about heading to bed... work in the mornin arrggghhh    ,,
773,@carlybug Yo Carly! I do indeed! Sorry I wasn't out on Friday... was ruined by swine flu. Or possibly bird flu ,,
774,Dec seems year2100 ,,
775,i'm so angry about my geometry teacher! if he didn't lower my grade i could be head of the class! ,,
776,I need someone who knows to fix Macs. I don't want to sell my iBook G4 on eBay for parts!!! ,,
777,Needs a Hug  Any Offers?,,
778,"OK, i can't watch tv tonight, crap, i was about to watch the cw  my tv doesn't work!",,
779,ughh. why does he have to be so cute?  damn it. haha. life's so cruel.,,
780,Storm clouds have cleard (at least temporarily) albeit the humidity remains to keep us wet in sweat!  ,,
781,Missin my princess.. Missed my mornin kiss   she's spending da rest of da week wit her aunt n cousin.. Want my gmornin smooch ,,
782,My puppy Junior is not a puppy anymore  almost 2 years old! But now he is like a teddy bear so cute he is. Dog Therapy. Adopt one too! ,,
783,@nikkidecoy I'm so sorry to hear that ,,
784,@sunnysully1  sorry about that bar tweet. I don't do this too often.,,
785,@Carly_FTS I am lost. Please help me find a good home. ,,
786,"too much food I think for today . arghhh , obesitas nii lama2x ",,
787,"love to wake  up to a cup of coffe madeby my pops , so good. now im bored and alone and its too early ",,
788,@bonsoirdollface We're practicing graduation today. ,,
789,"@KissMe_ImEmo Hell yeah, she is. I've have seen a couple of unflattering pics of her with no makeup on, though ",,
790,transformers was awesome. but not enough megan fox fap material  hahhahahahaha,,
